date,pop,source
2017-08-29,43500,https://reliefweb.int/sites/reliefweb.int/files/resources/20171211_acaps_rohingya_historical_review.pdf
2017-10-16,294500,https://www.voanews.com/east-asia-pacific/589000-rohingyas-have-fled-bangladesh-august-25
2018-03-06,592525,https://data2.unhcr.org/en/documents/download/62506
2018-03-22,595965,https://data2.unhcr.org/en/documents/download/62881
2018-04-07,601378,https://data2.unhcr.org/en/documents/download/63108
2018-05-09,606170,https://data2.unhcr.org/en/documents/download/63682
2018-06-26,610029,https://data2.unhcr.org/en/documents/download/64651
2018-08-29,613173,https://data2.unhcr.org/en/documents/download/65384
2018-11-17,623855,https://data2.unhcr.org/en/documents/download/66823
2019-01-01,628365,https://data2.unhcr.org/en/documents/download/67447
2019-02-18,630421,https://data2.unhcr.org/en/documents/download/68021
2019-03-22,630207,https://data2.unhcr.org/en/documents/download/68476
2019-04-07,628365,https://data2.unhcr.org/en/documents/download/68946
2019-05-25,631291,https://data2.unhcr.org/en/documents/download/69943
2019-06-26,631083,https://data2.unhcr.org/en/documents/download/70123
2019-07-12,631273,https://data2.unhcr.org/en/documents/download/70356
2019-08-13,631476,https://data2.unhcr.org/en/documents/download/70840
2019-09-14,631472,https://data2.unhcr.org/en/documents/download/71429
2019-12-03,631495,https://data2.unhcr.org/en/documents/download/72869
2020-01-01,631495,https://data2.unhcr.org/en/documents/download/74384